,title,pages,publisher,category 1,category 2,category 3,is bestseller
74,Honey,160 pages,"Scholastic Press; Reissue edition (May 16, 2016)Ê",in Children's Parents Books,in Children's Dog Books (Books),in Children's Friendship Books,0
75,IA: B.O.S.S.,221 pages,"BHC Press/H2O (February 3, 2018)Ê",in Teen & Young Adult Coming of Age Fantasy eBooks,in Coming of Age Fantasy eBooks,in Coming of Age Fantasy (Books),0
76,The Jumbies,240 pages,"Algonquin Young Readers; Reprint edition (April 26, 2016)Ê",in Children's Central & South America Books,in Children's Friendship Books,in Children's Fantasy & Magic Books,0
77,The Dreamsnatcher,212 pages,"Simon & Schuster Children's UK (February 26, 2015)Ê",in Baby & Toddler Bedtime & Dreaming Books,in Children's Sword & Sorcery Fantasy Books,in Children's Fantasy & Magic Adventure,0
78,"Amanda Lester and the Orange Crystal Crisis (Amanda Lester, Detective Book 2)",426 pages,"The Writing Show (September 15, 2015)Ê",in Children's Fantasy & Supernatural Mystery Books,in Children's Detectives Books,in Children's Mystery & Detective Adventure,0
79,"Amanda Lester and the Purple Rainbow Puzzle (Amanda Lester, Detective Book 3)",400 pages,"The Writing Show (November 15, 2015)Ê",in Children's Fantasy & Supernatural Mystery Books,in Children's Detectives Books,in Children's Mystery & Detective Adventure,0
80,Upside-Down Magic (Upside-Down Magic 1): Volume 1 (Upside-Down Magic),208 pages,"Scholastic Inc.; Reprint edition (August 30, 2016)Ê",in Children's Friendship Books,in Children's Fantasy & Magic Books,in Children's Family Life Books (Books),0
81,The Secret Files of Fairday Morrow,272 pages,"Yearling; Reprint edition (January 3, 2017)Ê",in Children's Spine-Chilling Horror,"in Children's Mystery, Detective, & Spy",in Children's Action & Adventure Books (Books),0
82,"I'm With Cupid (Switched at First Kiss, 1)",240 pages,"Sourcebooks Young Readers (July 7, 2015)Ê",in Teen & Young Adult Fiction about Being a Teen (Books),in Teen & Young Adult Humorous Fiction,in Teen & Young Adult Coming of Age Fantasy,0
83,"The Whispering Trees (The Thickety, 2)",544 pages,"Katherine Tegen Books; Reprint edition (February 9, 2016)Ê",in Children's Spine-Chilling Horror,in Children's Fantasy & Magic Books,in Children's Action & Adventure Books (Books),0
84,Zaria Fierce and the Secret of Gloomwood Forest (Zaria Fierce Series Book 1),226 pages,"Keira Gillett (March 6, 2015)Ê",in Children's Norse Folk Tales,in Children's Sword & Sorcery Fantasy Books,,0
85,Ferals #2: The Swarm Descends,304 pages,"HarperCollins; Reprint edition (October 18, 2016)Ê",in Children's Fantasy & Magic Books,in Children's Action & Adventure Books (Books),in Children's Animals Books,0
86,"The Stolen Moon (The Lost Planet Series, 2)",368 pages,"Square Fish; Reprint edition (January 26, 2016)Ê",in Teen & Young Adult Space Opera,in Teen & Young Adult Action & Adventure,in Teen & Young Adult Fantasy,0
87,Chasing Secrets,288 pages,"Yearling; Reprint edition (July 19, 2016)Ê",in Children's Asian & Asian American Books,in Children's 1900s American Historical Fiction,in Children's Friendship Books,0
88,The Lightning Queen,336 pages,"Scholastic Press (October 27, 2015)Ê",in Children's Mexico Books,in Children's Friendship Books,,0
89,Witherwood Reform School,241 pages,"Henry Holt and Co. (BYR) (March 3, 2015)Ê",in Children's Orphans & Foster Homes Books,in Children's Fantasy & Supernatural Mystery Books,in Children's Books on Orphans & Foster Homes,0
90,The Way to Stay in Destiny,192 pages,"Scholastic Press (January 6, 2015)Ê",in Children's Military Fiction (Books),in Children's Black & African American Story Books,in Children's Friendship Books,0
91,The Doldrums,368 pages,"Greenwillow Books; Reprint edition (October 3, 2017)Ê",in Children's Multigenerational Family Life,in Children's Friendship Books,in Children's Action & Adventure Books (Books),0
92,Arsenic For Tea: A Murder Most Unladylike Mystery,352 pages,"Puffin (September 27, 2016)Ê","in Children's Mystery, Detective, & Spy",,,0
93,Red Butterfly,400 pages,"Simon & Schuster Books for Young Readers; Reprint edition (February 2, 2016)Ê",in Children's Books on Orphans & Foster Homes,in Stories in Verse'],,0
94,"Lunch Witch #1, The (The Lunch Witch, 1)",180 pages,"Papercutz (May 12, 2015)Ê",in Children's Comics & Graphic Novels (Books),in Graphic Novels (Books)'],,0
95,The Crystal of Yggdrasil. Aki and the Spheres of Time,144 pages,"Youcanprint Self-Publishing; Abridged ed. edition (August 22, 2016)Ê",in Literature & Fiction (Books),,,0
96,The Only Game (Home Team),336 pages,"Simon & Schuster Books for Young Readers; Reprint edition (January 12, 2016)Ê",in Children's Books on Death & Dying,in Children's Baseball Books (Books),in Children's Friendship Books,0
97,"The Evertree (Spirit Animals, Book 7) (7)",192 pages,"Scholastic Inc.; First Edition (March 31, 2015)Ê",in Children's Superhero Fiction,in Children's Fantasy & Magic Books,in Children's Action & Adventure Books (Books),0
98,"The Secret Cipher (Secret Box, 2)",272 pages,"Katherine Tegen Books; Reprint edition (June 21, 2016)Ê","in Children's Mystery, Detective, & Spy",in Children's Fantasy & Magic Books,in Children's Action & Adventure Books (Books),0
99,Moonpenny Island,309 pages,"Balzer + Bray (February 10, 2015)Ê",in Children's Fantasy & Supernatural Mystery Books,in Children's Mystery & Detective Adventure,in Children's Books on Friendship,0
100,Maisy and the Mystery Manor (The Maisy Files Book 3),90 pages,"Next Chapter; 2nd edition (August 16, 2019)Ê",in Children's Detectives Books,in Children's Chapter Books (Kindle Store),in Children's Chapter Books (Books),0
101,"The Taken (Foxcraft, Book 1) (1)",272 pages,"Scholastic Press; Reissue edition (April 26, 2016)Ê",in Children's Fox & Wolf Books (Books),in Children's Fantasy & Magic Books,in Children's Action & Adventure Books (Books),0
102,"The Loch Ness Punster (43 Old Cemetery Road) (43 Old Cemetery Road, 7)",144 pages,"Clarion Books; Reprint edition (October 18, 2016)Ê",in Puns & Wordplay,in Children's Spine-Chilling Horror,"in Children's Mystery, Detective, & Spy",0
103,"The Fog Diver (Fog Diver, 1)",352 pages,"HarperCollins; Reprint edition (May 24, 2016)Ê",in Children's Friendship Books,in Children's Fantasy & Magic Books,in Children's Action & Adventure Books (Books),0
104,Eden's Wish (Fiction - Middle Grade Book 1),273 pages,"Disney Hyperion (September 1, 2015)Ê",in Children's Humorous Action & Adventure,in Children's Fantasy & Magic Adventure,in Children's Books on Friendship,0
105,"Almost Super (Almost Super, 1)",272 pages,"HarperCollins; Reprint edition (January 20, 2015)Ê",in Children's Superhero Fiction,in Children's Fantasy & Magic Books,in Children's Action & Adventure Books (Books),0
106,"I Totally Funniest: A Middle School Story (I Funny, 3)",336 pages,"jimmy patterson; Gift Book edition (January 26, 2015)Ê",in Children's Books on Disabilities,in Children's Self-Esteem Books,in Children's Friendship Books,0
107,Baba Yaga's Assistant,136 pages,"Candlewick (June 2, 2020)Ê","in Children's Fairy Tales, Folklore, Legends & Mythology Comics & Graphic Novels",in Children's Multigenerational Family Life,in Fantasy Manga (Books)'],0
108,"The Pirate Who's Afraid of Everything (Shivers!, 1)",192 pages,"HarperCollins; Illustrated edition (February 24, 2015)Ê",in Children's Chapter Books (Books),in Children's Activity Books (Books),in Children's Action & Adventure Books (Books),0
109,"Fires of Invention (Mysteries of Cove) (Mysteries of Cove, 1)",313 pages,"Shadow Mountain; Reprint edition (August 2, 2016)Ê","in Children's Dragon, Unicorn & Mythical Stories",in Children's Fantasy & Magic Books,in Children's Action & Adventure Books (Books),0
110,Dragons Beware! (The Chronicles of Claudette),160 pages,"First Second; Illustrated edition (May 12, 2015)Ê",in Children's Action & Adventure Comics & Graphic Novels,in Children's Fantasy & Magic Books,in Children's Action & Adventure Books (Books),0
111,We Are All Made of Molecules,256 pages,"Ember; Illustrated edition (May 10, 2016)Ê",in Teen & Young Adult Stepfamily Fiction,in Teen & Young Adult Fiction on Bullying (Books),in Teen & Young Adult Social Issues,0
112,Stonebird,186 pages,"Quercus Children's Books (February 5, 2015)Ê",in Children's Nonfiction Family Life Books,in Children's Mystery & Detectives Books,in Children's Family Life Books (Kindle Store),0
113,The Worst Class Trip Ever,224 pages,"Little, Brown Books for Young Readers; Reprint edition (March 12, 2019)Ê",in Children's School Issues,in Children's Friendship Books,in Children's Action & Adventure Books (Books),0
114,Frank Einstein and the Electro-Finger (Frank Einstein series #2): Book Two,192 pages,"Harry N. Abrams; Illustrated edition (April 11, 2017)Ê",in Children's Robot Fiction Books,in Children's Humor,in Children's Science & Nature Books,0
115,The League of Beastly Dreadfuls Book 1,336 pages,"Yearling; Dgs edition (January 19, 2016)Ê",in Children's Books on Orphans & Foster Homes,"in Children's Mystery, Detective, & Spy",in Children's Humor,0
116,Took: A Ghost Story,272 pages,"Clarion Books; Reprint edition (September 6, 2016)Ê",in Children's Spine-Chilling Horror,"in Children's Mystery, Detective, & Spy",in Children's Fantasy & Magic Books,0
117,The Murk,304 pages,"Little, Brown Books for Young Readers (April 21, 2015)Ê",in Teen & Young Adult Nature & the Natural World Fiction eBooks,"in Children's Paranormal, Occult & Supernatural Books",in Children's Scary Stories,0
118,Footer Davis Probably Is Crazy,240 pages,"Simon & Schuster/Paula Wiseman Books; Reprint edition (March 1, 2016)Ê",in Teen & Young Adult Fiction on Depression & Mental Health (Books),in Teen & Young Adult Parents Fiction,in Teen & Young Adult Mysteries & Detective Stories,0
119,MiNRS (1),352 pages,"Margaret K. McElderry Books; Reprint edition (October 11, 2016)Ê",in Children's Science Fiction Books (Books),in Children's Science & Nature Books,in Children's Action & Adventure Books (Books),0
120,Six,369 pages,"Margaret K. McElderry Books; Reprint edition (May 12, 2015)Ê",in Children's Technology Fiction,in Children's Action & Adventure Sci-Fi Books,in Children's Science & Nature,0
121,The Girl in the Torch,304 pages,"Balzer + Bray (May 26, 2015)Ê",in Children's Books on Orphans & Foster Homes,in Children's 1900s American Historical Fiction,in Children's Action & Adventure Books (Books),0
122,How to Speak Dolphin,272 pages,"Scholastic Press; Reprint edition (March 28, 2017)Ê",in Children's Books on Disabilities,in Children's Marine Life Books,in Children's Family Life Books (Books),0
123,"Clayton Stone, At Your Service",224 pages,"Holiday House (July 17, 2015)Ê",in Children's Spy Books,in Children's Mystery & Detective Adventure,"in Children's Mystery, Detective, & Spy",0
124,Class Dismissed,272 pages,"Scholastic Paperbacks; Reprint edition (June 27, 2017)Ê",in Children's School Issues,in Children's Friendship Books,in Children's Humor,0
125,Joshua's Island (James Madison Series Book 1),248 pages,"Creativia; 2nd edition (December 15, 2014)Ê",in Psychological Literary Fiction,in Children's Issues in School Books,in Children's Books on Bullies,0
126,Ethan's Secret (James Madison Series Book 2),339 pages,"Creativia; 2nd edition (August 17, 2015)Ê",in Children's Issues in School Books,"in Psychological Literary Fiction', 'in Mystery, Thriller & Suspense Literary Fiction']",,0
127,The Vanishing Island (Chronicles of the Black Tulip Book 1),350 pages,"Walden Pond Press; Illustrated edition (September 1, 2015)Ê",in Children's Explorer Historical Fiction,in Children's Exploration Fiction,in Children's Historical Action & Adventure,0
128,The Book That Proves Time Travel Happens,422 pages,"Little, Brown Books for Young Readers (April 14, 2015)Ê",in Children's 1800s US Historical Fiction,in Children's Prejudice & Racism books,in Children's Historical Action & Adventure,0
129,"The Ire of Iron Claw: Gadgets and Gears, Book 2",179 pages,"Clarion Books; Reprint edition (July 7, 2015)Ê",in Children's Aviation Books,in Children's Trains Books (Kindle Store),in Children's Steampunk Books,0
130,Survival Strategies of the Almost Brave,319 pages,"Farrar, Straus and Giroux (BYR) (June 9, 2015)Ê",in Children's Runaway Books,in Children's Books on Runaways,in Children's Survival Story eBooks,0
131,Nightborn (Thrones and Bones),384 pages,"Yearling; Dgs edition (July 26, 2016)Ê",in Children's Norse Literature,in Children's Fantasy & Magic Books,in Children's Action & Adventure Books (Books),0
132,A Nearer Moon,176 pages,"Atheneum Books for Young Readers; Reprint edition (August 30, 2016)Ê",in Children's Environment Books (Books),in Children's Siblings Books (Books),in Children's Fantasy & Magic Books,0
133,25 Roses (mix),225 pages,"Aladdin (January 6, 2015)Ê",in Children's Valentine's Day Books (Kindle Store),in Children's Valentine's Day Books (Books),in Children's eBooks on Girls' & Women's Issues,0
134,The Spider Ring,229 pages,"Scholastic Press (January 27, 2015)Ê",in Children's Bug & Spider Books (Kindle Store),in Children's Multigenerational Families,in Children's Scary Stories,0
135,Warren the 13th and The All-Seeing Eye: A Novel,224 pages,"Quirk Books; Illustrated edition (November 24, 2015)Ê",in Children's Spine-Chilling Horror,in Children's Fantasy & Magic Books,in Children's Action & Adventure Books (Books),0
136,My Diary from the Edge of the World,448 pages,"Aladdin; Reprint edition (January 10, 2017)Ê",in Children's Folk Tales & Myths (Books),in Children's Fantasy & Magic Books,in Children's Family Life Books (Books),0
137,"The Guardian Herd: Stormbound (Guardian Herd, 2)",368 pages,"HarperCollins; Reprint edition (February 2, 2016)Ê",in Children's Horse Books (Books),in Children's Fantasy & Magic Books,in Children's Action & Adventure Books (Books),0
138,Anywhere but Paradise,288 pages,"Carolrhoda Books Â®; Reprint edition (March 1, 2018)Ê",in Children's 1900s American Historical Fiction,in Children's Books on Bullying,in Children's Action & Adventure Books (Books),0
139,"The Luck Uglies (Luck Uglies, 1)",416 pages,"HarperCollins; Illustrated edition (March 31, 2015)Ê",in Children's Folk Tales & Myths (Books),in Children's Fantasy & Magic Books,in Children's Action & Adventure Books (Books),0
