title,author.x,Plot.Driven,Character.Driven,Mix.of.Plot.and.Character,Strong.Character.Development,Lovable.Characters,Diverse.Characters,Flaws.Of.Characters.Important,pages,genre.tags,mood.tags,genre.tags.list,mood.tags.list
Amal Unbound,Aisha Saeed,0.22,0.35000000000000003,0.42,0.8200000000000001,0.9,0.81,0.32,240,"['contemporary', 'middle grade', 'fiction']","['challenging', 'hopeful', 'emotional']",,
Amari and the Great Game,B.B. Alston,0.29,0.04,0.65,0.81,0.92,0.97,0.41000000000000003,423,"['fantasy', 'middle grade', 'fiction']","['adventurous', 'mysterious']",,
Amari and the Night Brothers,B.B. Alston,0.23,0.07,0.68,0.88,0.92,0.97,0.46,416,"['fantasy', 'middle grade', 'fiction']",['adventurous'],,
Aru Shah and the End of Time,Roshani Chokshi,0.34,0.04,0.61,0.84,0.88,0.93,0.74,355,"['fantasy', 'middle grade', 'fiction']","['adventurous', 'lighthearted']",,
Aru Shah and the Song of Death,Roshani Chokshi,0.3,0.03,0.66,0.84,0.97,0.98,0.62,304,"['fantasy', 'middle grade', 'fiction']","['adventurous', 'funny', 'lighthearted']",,
Auggie & Me: Three Wonder Stories,R.J. Palacio,0.01,0.85,0.13,0.93,0.71,0.52,0.8300000000000001,380,"['middle grade', 'fiction', 'young adult']",['lighthearted'],,
Bad Luck,Pseudonymous Bosch,0.14,0.28,0.5700000000000001,0.66,0.5700000000000001,0.71,0.33,288,"['fantasy', 'mystery', 'middle grade', 'fiction']","['mysterious', 'adventurous']",,
Baseball Genius: Baseball Genius 1,"Derek Jeter, Tim Green",NA,NA,NA,NA,NA,NA,NA,352,"['sports', 'middle grade', 'fiction']","['hopeful', 'lighthearted']",,
Batting Order,Mike Lupica,NA,NA,NA,NA,NA,NA,NA,304,"['sports', 'middle grade', 'fiction']",['tense'],,
Beasts and Beauty: Dangerous Tales,Soman Chainani          with Julia Iredale (Illustrator)        ,0.21,0.18,0.52,0.44,0.41000000000000003,0.92,0.56,336,"['fantasy', 'middle grade', 'fiction', 'short stories']","['adventurous', 'mysterious', 'dark']",,
Beauty and the Beast: Lost in a Book,Jennifer Donnelly          with Jenna Augen (Narrator)        ,0.24,0.24,0.51,0.62,0.89,0.27,0.6900000000000001,NA,"['fantasy', 'fiction', 'young adult']","['adventurous', 'mysterious']",,
Becoming Muhammad Ali,"Kwame Alexander, James Patterson          with Dawud Anyabwile (Illustrator)        ",NA,NA,NA,NA,NA,NA,NA,320,"['nonfiction', 'poetry', 'biography', 'middle grade', 'sports']","['informative', 'hopeful', 'emotional']",,
Becoming: Adapted for Young Readers,Michelle Obama,NA,NA,NA,NA,NA,NA,NA,513,"['nonfiction', 'memoir', 'autobiography']","['inspiring', 'informative', 'reflective']",,
Best Nerds Forever,"Chris Grabenstein, James Patterson",0.08,0.58,0.33,0.72,1,0.72,0.7000000000000001,288,"['childrens', 'fiction']","['adventurous', 'funny', 'mysterious']",,
"Beverly, Right Here",Kate DiCamillo,0.05,0.9,0.05,0.85,0.9500000000000001,0.31,0.58,256,"['middle grade', 'historical', 'fiction']","['reflective', 'emotional']",,
Big Tree,Brian Selznick,0.33,0.09,0.47000000000000003,0.52,0.9500000000000001,0.42,0.4,528,"['fantasy', 'middle grade', 'fiction']","['hopeful', 'emotional', 'reflective']",,
Bill Nye's Great Big World of Science,"Gregory Mone, Bill Nye",NA,NA,NA,NA,NA,NA,NA,264,"['childrens', 'young adult', 'nonfiction', 'science', 'nature']",['informative'],,
Black Ballerinas: My Journey to Our Legacy,Misty Copeland          with Salena Barnes (Illustrator)        ,NA,NA,NA,NA,NA,NA,NA,64,"['nonfiction', 'biography', 'childrens']","['informative', 'emotional', 'inspiring']",,
Black Boy Joy: 17 Stories Celebrating Black Boyhood,Kwame Mbalia,0.02,0.36,0.52,0.78,0.97,0.97,0.17,320,"['short stories', 'middle grade', 'fiction']","['lighthearted', 'hopeful', 'inspiring']",,
Blended,Sharon M. Draper,0.19,0.38,0.42,0.6900000000000001,0.92,0.98,0.32,320,"['contemporary', 'middle grade', 'fiction']",['emotional'],,
Booked,Kwame Alexander,0.05,0.52,0.42,0.86,0.9400000000000001,0.84,0.62,320,"['middle grade', 'fiction', 'poetry', 'sports']","['hopeful', 'lighthearted', 'emotional']",,
"Boys Will Be Human: A Get-Real Gut-Check Guide to Becoming the Strongest, Kindest, Bravest Person You Can Be",Justin Baldoni,NA,NA,NA,NA,NA,NA,NA,304,"['nonfiction', 'gender', 'middle grade', 'self help']","['inspiring', 'informative']",,
Broken Pride,Erin Hunter          with Owen Richardson (Illustrator)        ,0.37,0.37,0.25,0.62,0.62,0.62,0.37,336,"['fantasy', 'middle grade', 'fiction']","['mysterious', 'adventurous']",,
Broken Pride,Erin Hunter          with Owen Richardson (Illustrator)        ,0.37,0.37,0.25,0.62,0.62,0.62,0.37,336,"['fantasy', 'middle grade', 'fiction']","['mysterious', 'adventurous']",,
Broken Pride,Erin Hunter          with Owen Richardson (Illustrator)        ,0.37,0.37,0.25,0.62,0.62,0.62,0.37,336,"['fantasy', 'middle grade', 'fiction']","['mysterious', 'adventurous']",,
Brown Girl Dreaming,Jacqueline Woodson,NA,NA,NA,NA,NA,NA,NA,352,"['memoir', 'race', 'nonfiction', 'poetry', 'middle grade']","['inspiring', 'reflective', 'emotional']",,
Calling All Minds: How to Think and Create Like an Inventor,Temple Grandin,NA,NA,NA,NA,NA,NA,NA,NA,"['nonfiction', 'middle grade', 'childrens', 'science']",['informative'],,
Camp Half-Blood Confidential,Rick Riordan,0.15,0.31,0.21,0.08,0.9400000000000001,0.74,0.05,192,"['fantasy', 'middle grade', 'fiction']","['adventurous', 'funny', 'lighthearted']",,
Charlie Thorne and the Last Equation,Stuart Gibbs,0.47000000000000003,0.04,0.47000000000000003,0.38,0.73,0.85,0.1,392,"['mystery', 'middle grade', 'fiction']","['mysterious', 'lighthearted', 'adventurous']",,
Charlie Thorne and the Lost City,Stuart Gibbs,0.66,0.11,0.22,0.11,0.77,0.88,NA,375,"['childrens', 'fiction']",['adventurous'],,
Circus Mirandus,Cassie Beasley,0.41000000000000003,0.08,0.5,0.78,0.92,0.23,0.25,304,"['fantasy', 'middle grade', 'fiction']","['lighthearted', 'adventurous']",,
City of Ghosts,Victoria Schwab,0.38,0.13,0.47000000000000003,0.39,0.86,0.24,0.25,272,"['fantasy', 'middle grade', 'fiction']","['mysterious', 'adventurous', 'dark']",,
City Spies,James Ponti,0.42,0.05,0.5,0.66,0.91,0.97,0.23,384,"['mystery', 'middle grade', 'fiction']","['mysterious', 'lighthearted', 'adventurous']",,
Clean Getaway,Nic Stone,0.1,0.31,0.58,0.71,0.8200000000000001,0.91,0.68,240,"['contemporary', 'middle grade', 'fiction', 'race']","['adventurous', 'emotional']",,
Code of Honor,Erin Hunter,0.33,0.33,0.33,0.66,0.66,0.66,0.33,352,"['fantasy', 'middle grade', 'fiction']","['mysterious', 'adventurous', 'dark']",,
Crenshaw,Katherine Applegate,0.11,0.65,0.22,0.8200000000000001,0.87,0.2,0.54,256,"['childrens', 'fantasy', 'middle grade', 'fiction']",['adventurous'],,
Daughter of the Deep,Rick Riordan,0.34,0.09,0.55,0.78,0.9,0.96,0.26,336,"['fantasy', 'science fiction', 'fiction', 'young adult']","['adventurous', 'funny']",,
Demigods & Magicians: Percy and Annabeth Meet the Kanes,Rick Riordan,0.46,0.22,0.32,0.23,0.98,0.86,0.21,224,"['fantasy', 'fiction', 'young adult']","['adventurous', 'tense', 'emotional']",,
Demon Dentist,"David Walliams, Tony Ross",0.44,0.16,0.33,0.44,0.77,0.68,0.44,443,"['fantasy', 'childrens', 'middle grade', 'fiction']","['lighthearted', 'funny']",,
Diary of an Awesome Friendly Kid: Rowley Jefferson's Journal,Jeff Kinney,0.15,0.63,0.15,0.1,0.44,0.05,0.68,224,"['childrens', 'middle grade', 'fiction']","['funny', 'lighthearted']",,
Dog Diaries: A Middle School Story,James Patterson          with Richard Watson (Illustrator)        ,NA,NA,NA,NA,NA,NA,NA,208,"['childrens', 'middle grade', 'fiction']","['adventurous', 'funny']",,
Dog Diaries: Double-Dog Dare: Dog Diaries & Dog Diaries: Happy Howlidays,"Steven Butler, James Patterson          with Richard Watson (Illustrator)        ",NA,NA,NA,NA,NA,NA,NA,464,"['childrens', 'middle grade', 'fiction']","['adventurous', 'funny']",,
Dog Man Unleashed,Dav Pilkey,0.43,0.18,0.37,0.26,0.85,0.36,0.42,224,"['childrens', 'fiction']","['funny', 'lighthearted']",,
"Dog Man: From the Creator of Captain Underpants (Dog Man #1), Volume 1",Dav Pilkey          with Dav Pilkey (Illustrator)        ,0.65,0.15,0.15,0.18,0.9500000000000001,0.52,0.3,240,"['childrens', 'fiction']",['adventurous'],,
"Dragon Captives, Volume 1",Lisa McMann,NA,NA,1,0.66,0.33,0.5,1,432,"['fantasy', 'middle grade', 'fiction']","['adventurous', 'dark']",,
Dragon Pearl,Yoon Ha Lee,0.4,0.15,0.43,0.61,0.77,0.92,0.48,320,"['fantasy', 'science fiction', 'middle grade', 'fiction']",['adventurous'],,
"Dude Perfect 101 Tricks, Tips, and Cool Stuff","Dudeperfect, Travis Thrasher",NA,NA,NA,NA,NA,NA,NA,256,"['nonfiction', 'childrens', 'sports']","['informative', 'lighthearted']",,
Echo,Pam Muñoz Ryan,0.2,0.32,0.47000000000000003,0.81,0.9,0.92,0.25,592,"['middle grade', 'historical', 'fiction', 'magical realism']","['reflective', 'emotional']",,
Endling: The First,Katherine Applegate          with Max Kostenko (Illustrator)        ,NA,NA,1,0.93,0.93,0.6,0.53,400,"['fantasy', 'middle grade', 'fiction']",['adventurous'],,
Endling: The Last,Katherine Applegate,0.18,0.14,0.66,0.65,0.96,0.76,0.2,400,"['fantasy', 'middle grade', 'fiction']",['adventurous'],,
Epoca: The Tree of Ecrof,Ivy Claire,NA,0.5,0.5,0.5,0.5,0.5,1,368,"['fantasy', 'fiction', 'sports']",['adventurous'],,
Essentially Charli: The Ultimate Guide To Keeping It Real,Charli D’Amelio,NA,NA,NA,NA,NA,NA,NA,192,"['nonfiction', 'biography', 'young adult', 'autobiography']",[],,
Fall of the School for Good and Evil,Soman Chainani,0.12,0.12,0.75,0.75,0.37,0.87,0.87,368,"['fantasy', 'middle grade', 'fiction', 'young adult']","['adventurous', 'emotional', 'dark']",,
Fast Break,Mike Lupica,NA,1,NA,1,NA,1,1,272,"['sports', 'middle grade', 'fiction']",['lighthearted'],,
Final Season,"Tim Green, Tim Green",NA,NA,NA,NA,NA,NA,NA,304,[],"['emotional', 'sad', 'reflective']",,
Finally Seen,Kelly Yang,0.02,0.28,0.6900000000000001,0.97,0.93,1,0.33,NA,"['middle grade', 'fiction']","['challenging', 'emotional']",,
Finding Home,"Karen Kingsbury, Tyler Russell",0.33,0.33,0.33,0.66,0.33,NA,0.5,320,"['childrens', 'fiction']","['hopeful', 'lighthearted', 'relaxing']",,
Finish the Fight!: The Brave and Revolutionary Women Who Fought for the Right to Vote,"Veronica Chambers, The Staff of the New York Times",NA,NA,NA,NA,NA,NA,NA,144,"['nonfiction', 'biography', 'middle grade', 'history']",['informative'],,
Fish in a Tree,Lynda Mullaly Hunt,NA,0.8,0.18,0.98,0.9,0.67,0.86,288,"['middle grade', 'fiction', 'young adult']",['emotional'],,
"Food Network Magazine The Big, Fun Kids Cookbook Sampler: 150+ Recipes for Young Chefs","Food Network Magazine, Maile Carpenter",NA,NA,NA,NA,NA,NA,NA,20,['nonfiction'],"['informative', 'lighthearted']",,
"Food Network Magazine: The Big, Fun Kids Baking Book: 110+ Recipes for Young Bakers",NA,NA,NA,NA,NA,NA,NA,NA,192,"['nonfiction', 'childrens', 'health', 'food and drink']","['informative', 'lighthearted']",,
For Magnus Chase: Hotel Valhalla Guide to the Norse Worlds,Rick Riordan,0.15,0.25,0.15,0.05,0.44,0.64,0.17,176,"['fantasy', 'fiction', 'young adult']",['adventurous'],,
Freewater,Amina Luqman-Dawson,0.21,0.11,0.66,0.86,0.8,0.9500000000000001,0.28,416,"['middle grade', 'fiction', 'race']","['informative', 'emotional', 'dark']",,
Furthermore,Tahereh Mafi,0.2,0.2,0.58,0.9,0.78,0.7000000000000001,0.72,416,"['fantasy', 'middle grade', 'fiction']","['reflective', 'adventurous']",,
Fuzzy Mud,Louis Sachar,0.4,0.1,0.4,0.77,0.6,0.45,0.5,NA,"['science fiction', 'middle grade', 'fiction', 'mystery']","['adventurous', 'mysterious']",,
Ghost,Jason Reynolds,0.03,0.68,0.28,0.96,0.92,0.97,0.8200000000000001,192,"['middle grade', 'fiction', 'young adult', 'sports']","['hopeful', 'emotional']",,
Ghost Boys,Jewell Parker Rhodes,0.12,0.42,0.44,0.67,0.71,0.9500000000000001,0.3,240,"['middle grade', 'fiction']","['sad', 'emotional']",,
Girls Who Code: Learn to Code and Change the World,Reshma Saujani,NA,NA,NA,NA,NA,NA,NA,176,"['nonfiction', 'childrens', 'middle grade', 'science']","['informative', 'inspiring']",,
Glory: Magical Visions of Black Beauty,"Kahran Bethencourt, Regis Bethencourt",NA,NA,NA,NA,NA,NA,NA,256,['art'],"['informative', 'lighthearted', 'inspiring']",,
Golden Gate,James Ponti,0.32,0.1,0.55,0.87,1,0.97,0.44,432,"['middle grade', 'fiction', 'mystery']","['adventurous', 'mysterious', 'lighthearted']",,
Good Night Stories for Rebel Girls 2,"Francesca Cavallo, Elena Favilli",NA,NA,NA,NA,NA,NA,NA,224,"['nonfiction', 'biography', 'childrens', 'feminism']",['reflective'],,
"Good Night Stories for Rebel Girls, Volume 1: 100 Tales of Extraordinary Women","Francesca Cavallo, Elena Favilli",NA,NA,NA,NA,NA,NA,NA,224,"['nonfiction', 'feminism', 'childrens', 'biography']","['inspiring', 'informative', 'reflective']",,
Gravity Falls: Journal 3,"Rob Renzetti, Alex Hirsch          with Stephanie Ramirez (Illustrator), Andy Gonsalves (Illustrator)        ",0.26,0.21,0.39,0.62,0.8200000000000001,0.17,0.52,288,"['fantasy', 'science fiction', 'fiction', 'mystery']","['adventurous', 'funny', 'mysterious']",,
Ground Zero,Alan Gratz,0.42,0.12,0.44,0.67,0.76,0.91,0.14,336,"['middle grade', 'historical', 'fiction']","['sad', 'emotional']",,
"Grover Cleveland, Again!: A Treasury of American Presidents","Ken Burns, Gerald Kelley",NA,NA,NA,NA,NA,NA,NA,96,"['nonfiction', 'history', 'biography']",['informative'],,
Harbor Me,Jacqueline Woodson,0.01,0.85,0.12,0.85,0.9500000000000001,1,0.39,192,"['fiction', 'young adult']","['reflective', 'emotional']",,
"Hello, Universe",Erin Entrada Kelly          with Isabel Roxas (Illustrator)        ,0.15,0.46,0.38,0.75,0.86,0.97,0.64,320,"['middle grade', 'fiction']","['hopeful', 'lighthearted', 'emotional']",,
Hitler's Last Days: The Death of the Nazi Regime and the World's Most Notorious Dictator,Bill O'Reilly,NA,NA,NA,NA,NA,NA,NA,320,"['nonfiction', 'history', 'biography']",['informative'],,
Home Sweet Motel,Chris Grabenstein,NA,NA,NA,NA,NA,NA,NA,304,"['mystery', 'middle grade', 'fiction']","['mysterious', 'adventurous', 'funny']",,
How Do You Live?,"Genzaburo Yoshino          with Bruno Navasky (Translator), Neil Gaiman (Contributor)        ",0.02,0.79,0.15,0.86,0.92,0.3,0.58,288,"['classics', 'middle grade', 'fiction']","['hopeful', 'inspiring', 'reflective']",,
I Am Malala: The Girl Who Stood Up for Education and Was Shot by the Taliban,Malala Yousafzai          with Christina Lamb (Contributor)        ,NA,NA,NA,NA,NA,NA,NA,327,"['nonfiction', 'feminism', 'memoir']","['inspiring', 'informative', 'emotional']",,
I Am the Walrus,"Neal Shusterman, Eric Elfman",NA,NA,NA,NA,NA,NA,NA,400,[],[],,
I Got This: To Gold and Beyond,Laurie Hernandez,NA,NA,NA,NA,NA,NA,NA,240,"['nonfiction', 'memoir', 'sports', 'biography']","['inspiring', 'informative', 'emotional']",,
I'm Just No Good at Rhyming: And Other Nonsense for Mischievous Kids and Immature Grown-Ups,Chris Harris          with Lane Smith (Illustrator)        ,NA,NA,NA,NA,NA,NA,NA,192,"['nonfiction', 'middle grade', 'poetry']","['funny', 'lighthearted']",,
Iceberg,Jennifer A. Nielsen,0.11,0.33,0.55,0.62,0.6,0.62,0.33,352,"['historical', 'fiction']","['adventurous', 'mysterious', 'tense']",,
If We Were Giants,"Clete Barrett Smith, Dave Matthews          with Antonio Javier Caparo (Illustrator)        ",1,NA,NA,1,1,NA,1,304,"['childrens', 'fantasy', 'middle grade', 'fiction']",['adventurous'],,
It's Not Bragging If It's True: How to Be Awesome at Life,Zaila Avant-garde,NA,NA,NA,NA,NA,NA,NA,144,"['nonfiction', 'middle grade']",[],,
It's Trevor Noah: Born a Crime: Stories from a South African Childhood (Adapted for Young Readers),Trevor Noah,NA,NA,NA,NA,NA,NA,NA,304,"['nonfiction', 'middle grade', 'memoir', 'autobiography']","['informative', 'reflective', 'funny']",,
"It's Your World: Get Informed, Get Inspired & Get Going!",Chelsea Clinton,NA,NA,NA,NA,NA,NA,NA,416,"['nonfiction', 'childrens']","['inspiring', 'informative']",,
Jack and the Geniuses: At the Bottom of the World,"Gregory Mone, Bill Nye          with Nicholas Iluzada (Illustrator)        ",NA,NA,1,0.5,1,1,0.5,256,"['middle grade', 'fiction', 'mystery']","['adventurous', 'mysterious', 'tense']",,
Jacky Ha-Ha: A Graphic Novel,"Chris Grabenstein, James Patterson",NA,0.5,0.5,0.75,0.75,0.25,1,240,"['graphic novel', 'comics', 'childrens', 'fiction']",['lighthearted'],,
Jacky Ha-Ha: My Life is a Joke,James Patterson,0.66,NA,0.33,0.33,0.66,0.66,1,352,"['childrens', 'middle grade', 'fiction']","['adventurous', 'funny', 'lighthearted']",,
JoJo's Guide to the Sweet Life: #PeaceOutHaterz,JoJo Siwa,NA,NA,NA,NA,NA,NA,NA,224,['nonfiction'],['emotional'],,
Jurassic World Special Edition Junior Novelization,David Lewman          with Random House (Illustrator)        ,NA,NA,NA,NA,NA,NA,NA,128,"['science fiction', 'childrens', 'fiction']",['adventurous'],,
Kaleidoscope,Brian Selznick,0.07,0.55,0.3,0.12,0.51,0.11,0.12,208,"['fantasy', 'young adult', 'fiction']","['emotional', 'adventurous']",,
Katt vs. Dogg,"Chris Grabenstein, James Patterson          with Anuki López (Illustrator)        ",NA,NA,1,0.5,0.5,NA,1,320,"['middle grade', 'fiction']","['adventurous', 'funny', 'lighthearted']",,
Laugh Out Loud,"Chris Grabenstein, James Patterson          with Jeffrey Ebbeler (Illustrator)        ",1,NA,NA,NA,1,NA,NA,304,"['childrens', 'middle grade', 'fiction']",['lighthearted'],,
Legacy and the Queen,Annie Matthew,0.5,0.5,NA,0.5,1,1,0.5,208,"['fantasy', 'fiction', 'young adult', 'sports']",['adventurous'],,
Lines of Courage,Jennifer A. Nielsen,0.12,0.31,0.56,0.81,0.9400000000000001,0.88,0.35000000000000003,400,"['historical', 'middle grade', 'fiction']","['emotional', 'inspiring', 'adventurous']",,
Little Dreamers: Visionary Women Around the World,Vashti Harrison,NA,NA,NA,NA,NA,NA,NA,90,"['nonfiction', 'childrens', 'biography']","['inspiring', 'informative']",,
Little Leaders: Bold Women in Black History,Vashti Harrison,NA,NA,NA,NA,NA,NA,NA,87,"['nonfiction', 'history', 'biography']","['inspiring', 'informative']",,
Little Legends: Exceptional Men in Black History,Vashti Harrison,NA,NA,NA,NA,NA,NA,NA,96,"['childrens', 'autobiography', 'nonfiction', 'historical', 'biography']",['informative'],,
Living the Confidence Code: Real Girls. Real Stories. Real Confidence.,"Claire Shipman, Katty Kay, Jillellyn Riley",NA,NA,NA,NA,NA,NA,NA,400,[],"['informative', 'reflective']",,
Look Both Ways: A Tale Told in Ten Blocks,Jason Reynolds,0.08,0.75,0.16,0.45,0.89,0.96,0.35000000000000003,231,"['short stories', 'middle grade', 'fiction']","['funny', 'lighthearted', 'emotional']",,
Louisiana's Way Home,Kate DiCamillo,NA,0.64,0.35000000000000003,0.9400000000000001,0.9500000000000001,0.11,0.64,240,"['childrens', 'middle grade', 'fiction']",['adventurous'],,
"Mac Undercover (Mac B., Kid Spy #1)",Mac Barnett          with Mike Lowery (Illustrator)        ,0.4,NA,0.6,0.2,0.8,0.2,0.2,150,"['middle grade', 'fiction', 'mystery']","['mysterious', 'lighthearted']",,
Map of Flames,Lisa McMann,0.21,0.28,0.5,1,0.84,0.7000000000000001,0.18,384,"['fantasy', 'middle grade', 'fiction']","['mysterious', 'adventurous', 'dark']",,
Marcus Makes a Movie,"Kevin Hart, Geoff Rodkey          with David Cooper (Illustrator)        ",NA,NA,1,1,1,1,0.33,208,"['middle grade', 'fiction']","['funny', 'lighthearted']",,
Max and the Midknights,Lincoln Peirce,0.5,NA,0.5,0.5,1,1,0.5,NA,"['childrens', 'play', 'comics', 'fantasy', 'graphic novel', 'fiction']","['adventurous', 'lighthearted']",,
Max and the Midknights: Battle of the Bodkins,Lincoln Peirce,1,NA,NA,1,1,1,NA,272,"['childrens', 'comics', 'fantasy', 'graphic novel', 'fiction']",['adventurous'],,
Max Einstein: Rebels with a Cause,"Chris Grabenstein, James Patterson          with Beverly Johnson (Illustrator)        ",0.5,0.5,NA,NA,0.5,1,NA,320,"['childrens', 'middle grade', 'fiction']",['adventurous'],,
Max Einstein: The Genius Experiment,"Chris Grabenstein, James Patterson          with Beverly Johnson (Illustrator)        ",0.22,0.55,0.22,0.55,0.77,1,0.11,352,"['childrens', 'middle grade', 'fiction']",['adventurous'],,
Merci Suárez Changes Gears,Meg Medina,0.03,0.55,0.41000000000000003,0.96,0.89,1,0.5700000000000001,368,"['middle grade', 'fiction']","['lighthearted', 'emotional']",,
Minecraft: The Crash,Tracey Baptiste,NA,NA,NA,NA,NA,NA,NA,288,"['childrens', 'young adult', 'fantasy', 'video games', 'fiction']",['adventurous'],,
Minecraft: The Island,Max Brooks,0.2,0.68,0.12,0.87,0.8,0.05,0.72,271,"['video games', 'middle grade', 'fiction']",['adventurous'],,
Moo: A Novel,Sharon Creech,NA,NA,NA,NA,NA,NA,NA,288,"['fiction', 'literary', 'poetry', 'middle grade', 'nature']",[],,
Mr. Lemoncello's Library Olympics,Chris Grabenstein,0.71,NA,0.28,0.72,0.92,0.75,0.54,288,"['childrens', 'middle grade', 'fiction', 'mystery']","['adventurous', 'mysterious', 'lighthearted']",,
My Life as an Ice Cream Sandwich,Ibi Zoboi,0.03,0.68,0.28,0.55,0.51,0.92,0.72,256,"['childrens', 'middle grade', 'fiction', 'science']",['adventurous'],,
Nevermoor: The Trials of Morrigan Crow [Large Print],Jessica Townsend          with James Madsen (Illustrator)        ,0.27,0.1,0.62,0.75,0.9500000000000001,0.64,0.51,640,"['fantasy', 'middle grade', 'fiction']",['adventurous'],,
New from Here,Kelly Yang,0.1,0.31,0.58,0.93,0.92,0.98,0.6900000000000001,368,"['contemporary', 'middle grade', 'fiction']","['challenging', 'reflective', 'emotional']",,
Nic Blake and the Remarkables: The Manifestor Prophecy,Angie Thomas          with Joniece Abbott-Pratt (Narrator)        ,0.3,0.02,0.66,0.84,0.98,0.9400000000000001,0.3,NA,"['contemporary', 'middle grade', 'fiction', 'fantasy']","['adventurous', 'funny', 'mysterious']",,
Northwind,Gary Paulsen,0.19,0.64,0.16,0.68,0.75,NA,0.13,256,"['historical', 'middle grade', 'fiction']","['emotional', 'adventurous']",,
Notorious RBG Young Readers' Edition: The Life and Times of Ruth Bader Ginsburg,"Irin Carmon, Shana Knizhnik",NA,NA,NA,NA,NA,NA,NA,208,"['nonfiction', 'biography', 'middle grade']","['informative', 'inspiring']",,
Odder,Katherine Applegate,0.06,0.46,0.43,0.76,0.98,0.13,0.43,272,"['middle grade', 'fiction']","['emotional', 'hopeful']",,
On Air with Zoe Washington,Janae Marks,0.33,0.38,0.27,0.8,1,0.93,0.3,304,"['middle grade', 'fiction']",[],,
Once There Was,Kiyash Monsef,0.08,0.21,0.6900000000000001,0.77,0.72,0.9500000000000001,0.47000000000000003,416,"['fantasy', 'middle grade', 'fiction']","['adventurous', 'mysterious', 'emotional']",,
Once Upon a Tim,"Stuart Gibbs, Stacy Curtis",NA,NA,NA,NA,NA,NA,NA,160,[],"['lighthearted', 'adventurous']",,
Other Words for Home,Jasmine Warga,0.04,0.62,0.32,0.92,0.98,0.97,0.18,342,"['contemporary', 'middle grade', 'poetry', 'fiction']","['emotional', 'hopeful', 'challenging']",,
Out of My Heart,Sharon M. Draper,0.08,0.65,0.25,0.79,0.98,0.9500000000000001,0.4,342,"['contemporary', 'middle grade', 'fiction']","['inspiring', 'hopeful', 'emotional']",,
Out of Wonder: Poems Celebrating Poets,"Chris Colderley, Kwame Alexander          with Ekua Holmes (Illustrator)        ",NA,NA,NA,NA,NA,NA,NA,56,"['nonfiction', 'childrens', 'poetry']","['reflective', 'lighthearted']",,
Patina,Jason Reynolds,0.04,0.65,0.29,0.96,0.98,0.96,0.54,240,"['sports', 'middle grade', 'young adult', 'fiction']",['emotional'],,
Pax,"Sara Pennypacker          with Jon Klassen (Illustrator), Jon Klassen (Illustrator)        ",0.09,0.48,0.41000000000000003,0.8300000000000001,0.88,0.3,0.47000000000000003,288,"['childrens', 'fiction']","['emotional', 'sad', 'adventurous']",,
Pax,"Sara Pennypacker          with Jon Klassen (Illustrator), Jon Klassen (Illustrator)        ",0.09,0.48,0.41000000000000003,0.8300000000000001,0.88,0.3,0.47000000000000003,288,"['childrens', 'fiction']","['emotional', 'sad', 'adventurous']",,
