,title,categories,pages,ISBN-13,publisher
54,Big Tree ,"Children's Recycling & Green Living Books, Children's Fantasy & Magic Books, Children's Action & Adventure Books (Books)",528 pages,978-1338180633,"Scholastic Press (April 4, 2023)"
55,"It's Not Bragging If It's True: How to Be Awesome at Life, from a Winner of the Scripps National Spelling Bee ","Children's Multicultural Biographies, Children's Books on Girls' & Women's Issues, Children's Self-Esteem Books",144 pages,978-0593568996,"Random House Books for Young Readers (May 2, 2023)"
56,The Golden Frog Games (Witchlings 2),"Children's Hispanic & Latino Books, Children's Fantasy & Magic Books, Children's Friendship Books",384 pages,978-1338745795,"Scholastic Press (May 2, 2023)"
57,Freewater (Newbery & Coretta Scott King Award Winner) ,"Children's Books on Prejudice & Racism, Children's Black & African American Story Books, Children's Action & Adventure Books (Books)",416 pages,978-0316056618,"Little, Brown Books for Young Readers (February 1, 2022)"
58,The Swifts: A Dictionary of Scoundrels ,"Children’s Books about Libraries & Reading', Children's Mystery, Detective, & Spy, Children's Family Life Books (Books)",352 pages,978-0593533239,"Dutton Books for Young Readers (February 7, 2023)"
59,The Rhythm of Time ,"Children's Time Travel Fiction, Children's Historical Fiction (Books), Children's Action & Adventure Books (Books)",240 pages,978-0593354063,"G.P. Putnam's Sons Books for Young Readers (April 18, 2023)"
60,"I Am the Walrus (The N.O.A.H. Files, 1)","Children's Robot Fiction Books, Children's Fantasy & Magic Books, Children's Action & Adventure Books (Books)",400 pages,978-0759555242,"Little, Brown Books for Young Readers (April 11, 2023)"
61,Star Wars: The High Republic: Quest for Planet X (Star Wars: The High Republic (Middle Grade)) ,"Children's Science Fiction Books (Books), Children's Action & Adventure Books (Books)",288 pages,978-1368082877,"Disney Lucasfilm Press (April 4, 2023)"
62,The Sister Switch (Best Wishes #2),"Children's Books on Emotions & Feelings (Books), Children's Fantasy & Magic Books, Children's Friendship Books",192 pages,978-1338628289,"Scholastic Press (April 4, 2023)"
63,Iceberg ,"Children's European Historical Fiction (Books), Children's 1900s American Historical Fiction, Children's Action & Adventure Books (Books)",352 pages,978-1338795028,"Scholastic Press (March 7, 2023)"
64,On Air with Zoe Washington ,"Children's Books on Prejudice & Racism, Children's Black & African American Story Books, Children's Parents Books",304 pages,978-0063212312,"Katherine Tegen Books (February 14, 2023)"
65,Finally Seen ,"Censorship & Politics', Children's Fiction on Social Situations, Children's New Experiences Books",304 pages,978-1534488335,"Simon & Schuster Books for Young Readers (February 28, 2023)"
66,"The Door of No Return (The Door of No Return series, 1)","Children's Books on Prejudice & Racism, 'Stories Verse', Children's Action & Adventure Books (Books)",432 pages,978-0316441865,"Little, Brown Books for Young Readers (September 27, 2022)"
67,New from Here ,"Children's Asian & Asian American Books, Children's Fiction on Social Situations, Children's New Experiences Books",368 pages,978-1534488304,"Simon & Schuster Books for Young Readers (March 1, 2022)"
68,"Stuntboy, in the Meantime (1)","Children's Superhero Fiction, Children's Black & African American Story Books, Children's Books on Emotions & Feelings (Books)",272 pages,978-1534418165,"Atheneum/Caitlyn Dlouhy Books (November 30, 2021)"
69,The Windeby Puzzle: History and Story ,"Children's Books on Disabilities, Children's Friendship Books, Children's Action & Adventure Books (Books)",224 pages,978-0358672500,"Clarion Books (February 14, 2023)"
70,Daughter of the Deep ,"Children's Mystery, Detective, & Spy, Children's Fantasy & Magic Books, Children's Action & Adventure Books (Books)",352 pages,978-1368077927,"Disney Hyperion (October 26, 2021)"
71,The Last Cuentista: Newbery Medal Winner ,"Children's Dystopian Fiction Books, Children's Multicultural Literature, Children's Fantasy & Magic Books",336 pages,978-1646140893,"Levine Querido (October 12, 2021)"
72,Warriors: A Starless Clan #2: Sky,"Children's Cat Books (Books), Children's Fantasy & Magic Books, Children's Action & Adventure Books (Books)",368 pages,978-0063050150,"HarperCollins (November 1, 2022)"
73,The Christmas Pig ,"Children's Christmas Books (Books), Children's Fantasy & Magic Books, Children's Friendship Books",288 pages,978-1338790238,"Scholastic Inc. (October 12, 2021)"
74,The Official Harry Potter Baking Book: 40+ Recipes Inspired by the Films,"Children's Film Books (Books), Children's Mystery & Wonders Books (Books), Children's Cookbooks",128 pages,978-1338285260,"Scholastic Inc. (July 20, 2021)"
75,The Hocus Pocus Spell Book ,"Children's Halloween Books (Books), Children's Folk Tales & Myths (Books), Children's Fantasy & Magic Books",240 pages,978-1368076692,"Disney Press; Media tie-in edition (August 30, 2022)"
76,Willodeen ,"Children's Environment Books (Books), Children's Friendship Books, Children's Fantasy & Magic Books",272 pages,978-1250147400,"Feiwel & Friends; First Edition (September 7, 2021)"
77,"Boys Will Be Human: A Get-Real Gut-Check Guide to Becoming the Strongest, Kindest, Bravest Person You Can Be ","Children's Books on Boys' & Men's Issues, Children's Values Books, Children's Self-Esteem Books",304 pages,978-0063067189,"HarperCollins (October 4, 2022)"
78,The Midnight Children ,"Children's Mystery, Detective, & Spy, Children's Fantasy & Magic Books, Children's Friendship Books",352 pages,978-1250196729,"Henry Holt and Co. (BYR) (August 30, 2022)"
79,The Stars Did Wander Darkling ,"Children's Spine-Chilling Horror, Children's Mystery, Detective, & Spy, Children's Friendship Books",336 pages,978-0063015517,"Balzer + Bray (September 13, 2022)"
80,"Pax, Journey Home ","Children's Fox & Wolf Books (Books), Children's Multigenerational Family Life, Children's Friendship Books",256 pages,978-0062930347,"Balzer + Bray (September 7, 2021)"
81,"The Marvellers (The Conjureverse, 1)","Children's Fantasy & Magic Books, Children's Friendship Books, Children's Action & Adventure Books (Books)",416 pages,978-1250174949,"Henry Holt and Co. (BYR) (May 3, 2022)"
82,Out of My Heart (The Out of My Mind Series) ,"Children's Books on Disabilities, Children's New Experiences Books, Children's Books on Emotions & Feelings (Books)",352 pages,978-1665902168,"Atheneum/Caitlyn Dlouhy Books (November 9, 2021)"
83,"Rick Riordan Presents: Cursed Carnival and Other Calamities, The: New Stories About Mythic Heroes ","Children's Short Story Collections, Children's Fantasy & Magic Books, Children's Action & Adventure Books (Books)",464 pages,978-1368070836,"Rick Riordan Presents (September 28, 2021)"
84,"Stamped (For Kids): Racism, Antiracism, and You ","Children's Books on Prejudice & Racism, Children's Multicultural Biographies, Children's Black & African American Story Books",176 pages,978-0316167581,"Little, Brown Books for Young Readers (May 11, 2021)"
85,Zachary Ying and the Dragon Emperor ,"Children's Asian Literature, Children's Fantasy & Magic Books, Children's Action & Adventure Books (Books)",352 pages,978-1665900706,"Margaret K. McElderry Books (May 10, 2022)"
86,The Fort ,"Children's Books on Abuse, Children's Books on Boys' & Men's Issues, Children's Friendship Books",256 pages,978-1338629149,"Scholastic Press (June 28, 2022)"
87,Thirst ,"Children's Asia Books, Children's Recycling & Green Living Books, Children's Environment Books (Books)",192 pages,978-0593354391,"Nancy Paulsen Books (July 19, 2022)"
88,The Beatryce Prophecy ,"Children’s Books about Libraries & Reading', Children's Fantasy & Magic Books, Children's Action & Adventure Books (Books)",256 pages,978-1536213614,"Candlewick; First Edition (September 28, 2021)"
89,When You Trap a Tiger: (Newbery Medal Winner) ,"Children's Books on Death & Dying, Children's Multigenerational Family Life, Children's Fantasy & Magic Books",304 pages,978-1524715700,"Random House Books for Young Readers (January 28, 2020)"
90,The Ickabog ,"Children's Spine-Chilling Horror, Children's Fantasy & Magic Books, Children's Friendship Books",304 pages,978-1338732870,"Scholastic Inc.; Illustrated edition (November 10, 2020)"
91,Allies ,"Children's European Historical Fiction (Books), Children's Military Fiction (Books), Children's Action & Adventure Books (Books)",336 pages,978-1338245721,"Scholastic Press (October 15, 2019)"
92,Search for Treasure (2) (The Islanders),"Children's Turtle Books, Children's Environment Books (Books), Children's Friendship Books",272 pages,978-1534427303,"Aladdin (June 14, 2022)"
93,Wishtree ,"Children's Bird Books (Books), Children's Values Books, Children's Friendship Books",224 pages,978-1250043221,"Feiwel & Friends; First Edition (September 26, 2017)"
94,Lines of Courage ,"Children's Military Fiction (Books), Children's European Historical Fiction (Books), Children's Books on Emotions & Feelings (Books)",400 pages,978-1338620931,"Scholastic Press; Reprint edition (May 17, 2022)"
95,Warriors: A Starless Clan #1: River,"Children's Cat Books (Books), Children's Fantasy & Magic Books, Children's Action & Adventure Books (Books)",272 pages,978-0063050082,"HarperCollins (April 5, 2022)"
96,The Ogress and the Orphans ,"Children's Dragon, Unicorn & Mythical Stories, Children's Mystery, Detective, & Spy, Children's Fantasy & Magic Books",400 pages,978-1643750743,"Algonquin Young Readers (March 8, 2022)"
97,Troublemaker ,"Children's Asian & Asian American Books, Children's Books on Prejudice & Racism, Children's Multigenerational Family Life",224 pages,978-0759554474,"Little, Brown Books for Young Readers (March 22, 2022)"
98,Once Upon a Tim (1),"Children's Mystery, Detective, & Spy, Children's Fantasy & Magic Books, Children's Action & Adventure Books (Books)",160 pages,978-1534499256,"Simon & Schuster Books for Young Readers (March 1, 2022)"
99,The Ice Cream Machine: 6 Deliciously Different Stories with the Same Exact Name!,"Children's Short Story Collections, 'Short Stories Anthologies', Children's Action & Adventure Books (Books)",384 pages,978-0593325797,"G.P. Putnam's Sons Books for Young Readers (February 15, 2022)"
100,"Map of Flames (The Forgotten Five, Book 1)","Children's Superhero Fiction, Children's Fantasy & Magic Books, Children's Action & Adventure Books (Books)",384 pages,978-0593325407,"G.P. Putnam's Sons Books for Young Readers (February 22, 2022)"
101,Pony ,"Children's Western American Historical Fiction, Children's Horse Books (Books), Children's Action & Adventure Books (Books)",304 pages,978-0553508116,"Knopf Books for Young Readers (September 28, 2021)"
102,Northwind ,"Travel Writing Reference', Children's Books on Emotions & Feelings (Books), Children's Action & Adventure Books (Books)",256 pages,978-0374314200,"Farrar, Straus and Giroux (BYR) (January 11, 2022)"
103,"Dude Perfect 101 Tricks, Tips, and Cool Stuff","Children's Camping Books (Books), Children's Science Experiment Books, Children's Game Books (Books)",256 pages,978-1400217076,"Tommy Nelson (June 22, 2021)"
104,"Food Network Magazine The Big, Fun Kids Cookbook: 150+ Recipes for Young Chefs (Food Network Magazine's Kids Cookbooks)","Children's Diet & Nutrition Books (Books), Children's House & Home Books, Children's Cookbooks",192 pages,978-1950785049,"Hearst Home Kids; Illustrated edition (April 7, 2020)"
105,How Do You Live? ,"Children's Books on Boys' & Men's Issues, Children's Friendship Books, Children's Fantasy & Magic Books",288 pages,978-1616209773,"Algonquin Young Readers (October 26, 2021)"
106,Black Ballerinas: My Journey to Our Legacy ,"Children's Performing Arts Biographies (Books), Children's Dance Books (Books), Children's Black & African American Story Books",64 pages,978-1534474246,"Aladdin (November 2, 2021)"
107,We Are Family ,"Children's Basketball Books (Books), Children's Black & African American Story Books, Children's Friendship Books",256 pages,978-0062971098,"HarperCollins (August 31, 2021)"
108,Beasts and Beauty: Dangerous Tales ,"Short Stories Anthologies', Children's Fantasy & Magic Books, Children's Friendship Books",336 pages,978-0062652638,"HarperCollins (September 21, 2021)"
109,Kaleidoscope ,"Teen & Young Adult Friendship Fiction', 'Teen & Young Adult Fantasy Romance', 'Short Stories Anthologies'",208 pages,978-1338777246,"Scholastic Press (September 21, 2021)"
110,"Ali Cross: Like Father, Like Son (Ali Cross, 2)","Children's Parents Books, Children's Mystery, Detective, & Spy, Children's Friendship Books",304 pages,978-0316500135,"jimmy patterson (June 28, 2021)"
111,Final Season ,"Children's Football Books (Books), Children's Books on Diseases & Physical Illness, Children's Family Life Books (Books)",304 pages,978-0062485953,"HarperCollins (September 14, 2021)"
112,"Amari and the Night Brothers (Supernatural Investigations, 1)","Children's Black & African American Story Books, Children's Fantasy & Magic Books, Children's Action & Adventure Books (Books)",416 pages,978-0062975164,"Balzer + Bray (January 19, 2021)"
113,Best Nerds Forever ,"Children's Books on Death & Dying, Children's Mystery, Detective, & Spy, Children's Friendship Books",256 pages,978-0316500241,"jimmy patterson (May 3, 2021)"
114,The Game Master: Summer Schooled ,"Children's Interactive Adventures, Children's Mystery, Detective, & Spy, Children's School Issues",176 pages,978-0063025073,"HarperCollins (June 1, 2021)"
115,"Food Network Magazine The Big, Fun Kids Baking Book: 110+ Recipes for Young Bakers (Food Network Magazine's Kids Cookbooks)","Children's House & Home Books, Children's Cookbooks",192 pages,978-1950785308,"Hearst Home Kids (July 27, 2021)"
116,Star Wars: The High Republic: Race to Crashpoint Tower (Star Wars: The High Republic (Middle Grade)) ,"Children's Science Fiction Books (Books), Children's Action & Adventure Books (Books)",208 pages,978-1368060660,"Disney Lucasfilm Press (June 29, 2021)"
117,Marcus Makes a Movie ,"Children's Performing Arts Fiction, Children's Black & African American Story Books, Children's Humor",208 pages,978-0593179147,"Crown Books for Young Readers (June 1, 2021)"
118,Becoming: Adapted for Young Readers ,"Children's Women Biographies (Books), Children's Multicultural Biographies, Children's Black & African American Story Books",432 pages,978-0593303740,"Delacorte Press; First Edition (March 2, 2021)"
119,"Uncomfortable Conversations with a Black Boy: Racism, Injustice, and How You Can Be a Changemaker ","Children's Books on Prejudice & Racism, Children's Multicultural Biographies, Children's Black & African American Story Books",320 pages,978-1250801067,"Roaring Brook Press (May 4, 2021)"
120,Willa of Dark Hollow (Willa of the Wood) ,"Children's Mystery, Detective, & Spy, Children's Fantasy & Magic Books, Children's Action & Adventure Books (Books)",368 pages,978-1368007603,"Disney Hyperion (May 4, 2021)"
121,Becoming Muhammad Ali ,"Children's Black & African American Story Books, 'Stories Verse', Children's Friendship Books",320 pages,978-0316498166,"jimmy patterson; Illustrated edition (October 5, 2020)"
122,Wow in the World: The How and Wow of the Human Body: From Your Tongue to Your Toes and All the Guts in Between ,"Children's How Things Work Books (Books), Children's Mystery & Wonders Books (Books), Children's Joke & Riddle Books (Books)",192 pages,978-0358306634,"Clarion Books; Illustrated edition (March 2, 2021)"
123,Golden Gate (2) (City Spies),"Children's Mystery, Detective, & Spy, Children's Action & Adventure Books (Books), Children's Family Life Books (Books)",432 pages,978-1534414945,"Aladdin (March 9, 2021)"
124,Rowley Jefferson's Awesome Friendly Adventure ,"Children's Humorous Comics & Graphic Novels, Children's School Issues, Children's Friendship Books",224 pages,978-1419749094,"Amulet Books; Illustrated edition (August 4, 2020)"
125,Charlie Thorne and the Lost City ,"Children's Mystery, Detective, & Spy, Children's Humor, Children's Action & Adventure Books (Books)",384 pages,978-1534443815,"Simon & Schuster Books for Young Readers (March 2, 2021)"
126,Diary of an Awesome Friendly Kid: Rowley Jefferson's Journal ,"Children's Humorous Comics & Graphic Novels, Children's School Issues, Children's Friendship Books",224 pages,978-1419740275,"Amulet Books; Illustrated edition (April 9, 2019)"
127,Living the Confidence Code: Real Girls. Real Stories. Real Confidence. ,"Children's Books on Girls' & Women's Issues, Children's Self-Esteem Books, Children's Books on Emotions & Feelings (Books)",400 pages,978-0062954114,"HarperCollins; Illustrated edition (February 23, 2021)"
128,Star Wars: The High Republic: A Test of Courage (Star Wars: The High Republic (Middle Grade)) ,"Children's Science Fiction Books (Books), Children's Action & Adventure Books (Books)",256 pages,978-1368057301,"Disney Lucasfilm Press (January 5, 2021)"
129,Max and the Midknights: Battle of the Bodkins (Max & The Midknights) ,"Children's Fantasy Comics & Graphic Novels, 'Fantasy Manga (Books)', Children's Fantasy & Magic Books",272 pages,978-0593125908,"Crown Books for Young Readers (December 1, 2020)"
130,A Wolf Called Wander (A Voice of the Wilderness Novel) ,"Children's Fox & Wolf Books (Books), Children's Action & Adventure Books (Books), Children's Family Life Books (Books)",256 pages,978-0062895936,"Greenwillow Books; First Edition (May 7, 2019)"
131,Simplemente Charli: Mis secretos para que brilles siendo tú / Essentially Charli: The Ultimate Guide to Keeping It Real (Spanish Edition) ,"Teen & Young Adult Biographies', 'Teen & Young Adult Social Issues', 'Libros en español (Special Features Stores)'",192 pages,978-6073199889,"Montena (February 23, 2021)"
132,Bill Nye's Great Big World of Science ,"Children's Physics Books (Books), Children's Science Experiment Books, Children's Astronomy Books (Books)",264 pages,978-1419746765,"Harry N. Abrams; Illustrated edition (October 27, 2020)"
133,GLORY: Magical Visions of Black Beauty ,"Children's Photography, 'Portrait Photography', 'African American Demographic Studies (Books)'",256 pages,978-1250204561,"St. Martin's Press (October 20, 2020)"
134,Look Both Ways: A Tale Told in Ten Blocks ,"Children's Short Story Collections, Children's New Experiences Books, Children's Books on Emotions & Feelings (Books)",208 pages,978-1481438285,"Atheneum/Caitlyn Dlouhy Books; First Edition (October 8, 2019)"
135,"Superpowered: Transform Anxiety into Courage, Confidence, and Resilience ","Children's Books on Health, Children's Self-Esteem Books, Children's Reference & Nonfiction (Books)",336 pages,978-0593126394,"Random House Books for Young Readers (September 22, 2020)"
136,Wolfpack (Young Readers Edition) ,"Children's Values Books, Children's Books on Girls' & Women's Issues, Children's Self-Esteem Books",112 pages,978-1250766861,"Roaring Brook Press; Young Readers ed. edition (October 6, 2020)"
137,"Rick Riordan Presents: Tristan Strong Destroys the World-A Tristan Strong Novel, Book 2","Children's Black & African American Story Books, Children's Fantasy & Magic Books, Children's Action & Adventure Books (Books)",400 pages,978-1368042383,"Rick Riordan Presents (October 6, 2020)"
138,Super Good Baking for Kids ,"Children's House & Home Books, Children's Cookbooks, Children's Activity Books (Books)",208 pages,978-0062349811,"HarperCollins; Illustrated edition (September 29, 2020)"
139,Notorious RBG Young Readers' Edition: The Life and Times of Ruth Bader Ginsburg ,"Children's Law & Crime Books (Books), Children's Political Biographies (Books), Children's Women Biographies (Books)",208 pages,978-0062748539,"HarperCollins; Young Readers ed. edition (November 28, 2017)"
